Tue May 10 09:12:07 2022,rfib,-fcall-arity,13197.009000,309.775330,0.000000,0.000000,38.808594,0.000000,441.158081,0.000000,0.000000,68.344788,0.000000
Tue May 10 09:12:24 2022,tak,-fcase-merge,16668.171000,392.374146,0.000000,0.000000,48.961334,0.000000,546.105347,0.000000,0.000000,85.500061,0.000000
Tue May 10 09:12:42 2022,tak,-fcase-folding,16645.051000,391.034790,0.000000,0.000000,48.899048,0.000000,541.277344,0.000000,0.000000,84.980270,0.000000
Tue May 10 09:13:00 2022,tak,-fcall-arity,17241.390000,405.318665,0.000000,0.000000,50.594772,0.000000,560.806641,0.000000,0.000000,87.072235,0.000000
Tue May 10 09:13:07 2022,wheel-sieve1,-fcase-merge,5207.219000,122.549561,0.000000,0.000000,15.492889,0.000000,175.653320,0.000000,0.000000,26.855011,0.000000
Tue May 10 09:13:13 2022,wheel-sieve1,-fcase-folding,5211.948000,179.426208,0.000000,0.000000,26.704742,0.000000,122.071777,0.000000,0.000000,17.805298,0.000000
Tue May 10 09:13:20 2022,wheel-sieve1,-fcall-arity,5243.566000,122.646179,0.000000,0.000000,15.597839,0.000000,174.666138,0.000000,0.000000,27.212006,0.000000
Tue May 10 09:13:24 2022,wheel-sieve2,-fcase-merge,3046.629000,70.511169,0.000000,0.000000,9.123245,0.000000,99.362488,0.000000,0.000000,16.441971,0.000000
Tue May 10 09:13:28 2022,wheel-sieve2,-fcase-folding,3043.941000,70.563538,0.000000,0.000000,9.116806,0.000000,98.864746,0.000000,0.000000,16.281754,0.000000
Tue May 10 09:13:32 2022,wheel-sieve2,-fcall-arity,3026.354000,100.106689,0.000000,0.000000,14.195389,0.000000,69.557312,0.000000,0.000000,10.092636,0.000000
Tue May 10 09:14:11 2022,x2n1,-fcase-merge,37360.501000,879.504150,0.000000,0.000000,110.561356,0.000000,1253.756409,0.000000,0.000000,267.634964,0.000000
Tue May 10 09:14:50 2022,x2n1,-fcase-folding,37890.882000,1292.394348,0.000000,0.000000,239.999161,0.000000,893.217590,0.000000,0.000000,136.767365,0.000000
Tue May 10 09:15:29 2022,x2n1,-fcall-arity,37782.622000,891.358337,0.000000,0.000000,111.810806,0.000000,1269.259521,0.000000,0.000000,272.021652,0.000000
